country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.cum.mortality,peak.cum.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency.average,early.stringency.sum,log.early.stringency.sum,how.early.stringency,stringency.delta,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,stringent
New Zealand,19,1,37,1,2.07373E-07,0,6.22118E-07,1.098612289,2.2811E-06,0.00021546,2.66622E-07,1.5553E-05,-0.796707012,-0.299223231,18.16227273,1598.28,7.37668333,56,1.54490566,97.35,32.98428571,15.652425,86.538,18.55417569,12.08699977,3937.221924,40640,5.956001129,-40.900557,174.885971,9.26,SI>7.77
Norway,26,1,32,1,1.29122E-06,0.84729786,5.90271E-06,3.465735903,1.99216E-05,0.000790225,1.52838E-06,5.00412E-05,-0.515050101,-0.309458217,7.960958904,581.15,6.365008899,43,1.292830189,79.63,88.35857143,17.049222,82.248,14.55491954,4.906000108,7936.375,80610,6.956519803,60.472024,8.468946,9.87,SI>7.77
Peru,39,1,54,0,2.7296E-07,1.098612289,4.54934E-07,2.708050201,2.59009E-05,,1.6031E-06,6.03545E-05,-0.342142865,-0.179912494,8.919113924,704.61,6.557644458,15,3.032857143,96.03,,8.088393,77.907,24.99160625,50.41799927,332.5709229,6470,24.78672805,-9.189967,-75.015152,6.6,SI>7.77
Philippines,73,1,64,1,9.12566E-09,0,1.82513E-08,0.693147181,3.18486E-06,2.75412E-05,2.17712E-07,2.88762E-06,-0.210138242,-0.199298091,6.1225,195.92,5.277706413,32,1.106973684,87.3,109.7828571,5.122569,46.907,357.6883053,32.69899893,132.9009857,3830,18.06979891,12.879721,121.774017,6.64,SI<7.77
Poland,47,1,38,1,1.32112E-07,1.609437912,5.81294E-07,3.091042453,1.57478E-05,0.000167941,7.36054E-07,1.0301E-05,-0.300467286,-0.302191354,6.14084507,436,6.077642243,49,1.051298701,88.09,112.3,17.517817,60.058,124.0358862,16.05900002,906.8201294,14100,20.87782222,51.919438,19.145136,6.62,SI<7.77
Portugal,27,1,32,1,2.25563E-06,3.135494216,2.94213E-06,2.708050201,5.24679E-05,0.000969529,3.13827E-06,7.87089E-05,-0.469327388,-0.295304829,9.406710526,714.91,6.572156661,51,1.005662651,94.58,90.42714286,21.953858,65.211,112.2394535,11.84800011,1908.033936,21990,8.160752248,39.399872,-8.224454,8.03,SI>7.77
Qatar,10,1,60,0,1.04128E-06,1.098612289,2.77676E-06,2.079441542,2.08257E-06,,1.9834E-07,0.000276519,-1.543328463,-0.136553875,20.34528736,1770.04,7.478757424,64,1.034823529,90.74,,1.37007,99.135,239.5931955,0.144000003,1649.186157,61150,91.18732793,25.354826,51.183884,3.19,SI>7.77
Russia,40,1,89,0,2.05572E-08,1.098612289,1.37048E-08,0,5.94102E-06,,4.02333E-07,4.06107E-05,-0.368149628,-0.113612124,8.18474359,638.41,6.45898071,49,0.94443038,82.94,103.6571429,14.674708,74.433,8.822079555,5.350000024,585.87323,10230,16.16022381,61.52401,105.318756,3.11,SI>7.77
Saudi Arabia,32,1,58,0,2.29793E-07,2.079441542,3.15966E-07,2.397895273,3.90649E-06,,1.80552E-07,3.49717E-05,-0.485226464,-0.176913302,15.64301205,1298.37,7.168864911,54,1.059873418,94.84,58.34142857,3.314088,83.844,15.67665431,3.015999917,1093.405518,21600,87.94544668,23.885942,45.079162,1.93,SI>7.77
Singapore,14,1,94,1,3.4186E-07,0,1.19651E-06,0,1.02558E-06,0.002328752,9.76744E-08,0.000171809,-1.152973331,-0.092224744,20.271,1621.68,7.391217928,79,0.629158879,81.21,63.31285714,11.46338,100,7952.998418,9.665999621,2618.712402,58770,19.0782565,1.352083,103.819836,6.02,SI>7.77
