iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,KIR,0,0,1,0,0,0,0,0,12879.521,12879.521,12784.4701472168,12752.66617764586
ABW,KNA,0,0,1,0,0,0,0,0,952.67194,952.67194,1383.822179260254,976.508657920494
ABW,KOR,0,0,1,0,0,0,0,0,14183.604,14183.604,14259.76645505371,14259.24251816108
ABW,KWT,0,0,1,0,0,0,0,0,11922.281,11922.281,11920.18921730957,11920.18034378144
ABW,LAO,0,0,0,0,0,0,0,0,16543.053,16543.053,16573.9944675293,16570.50254458591
ABW,LBN,0,0,1,0,0,0,0,0,10635.638,10635.638,10634.89953442383,10634.88491109999
ABW,LBR,0,0,1,0,0,0,0,0,6538.7207,6538.7207,6573.055801586914,6571.4860441361
ABW,LBY,0,0,0,0,0,0,0,0,8638.4834,8638.4834,8900.734591772461,8887.954876653874
ABW,LCA,0,0,1,0,0,0,0,0,1000.8457,1000.8457,989.2424757415771,989.2025901506382
ABW,LKA,0,0,0,0,0,0,0,0,16067.563,16067.563,16049.49703779297,16049.17952930252
ABW,LSO,0,0,1,0,0,0,0,0,11423.006,11423.006,11425.87952102051,11425.76856804472
ABW,LTU,0,0,0,0,0,0,0,0,9223.9092,9223.9092,9122.045166308593,9121.059323059178
ABW,LUX,0,0,0,0,0,0,0,0,7967.7109,7967.7109,7957.687149145508,7957.678252230823
ABW,LVA,0,0,0,0,0,0,0,0,9100.9482,9100.9482,9111.285722827148,9110.400093125787
ABW,MAC,0,0,0,0,0,0,0,0,16137.888,16137.888,,
ABW,MAR,0,0,0,0,0,0,0,0,6782.7393,6782.7393,6777.430811706543,6773.627168340926
ABW,MDA,0,0,0,0,0,0,0,0,9662.5479,9662.5479,9653.516884204102,9653.259360787475
ABW,MDG,0,0,0,0,0,0,0,0,13342.618,13342.618,13328.06937075195,13326.8923074122
ABW,MDV,0,0,0,0,0,0,0,0,15595.964,15595.964,15591.32508452148,15590.73256661261
ABW,MEX,0,1,0,0,0,0,0,0,3197.7773,3197.7773,3516.020818951416,3433.251961130698
ABW,MHL,0,0,1,0,0,0,0,0,12908.488,12908.488,13034.26682475586,13032.87135171858
ABW,MKD,0,0,0,0,0,0,0,0,9214.0879,9214.0879,9217.800480786133,9217.653855450098
ABW,MLI,0,0,0,0,0,0,0,0,6729.1143,6729.1143,6799.604262585449,6792.551888521624
ABW,MLT,0,0,1,0,0,0,0,0,8723.9805,8723.9805,8711.659522070313,8711.655454640182
ABW,MMR,0,0,0,0,0,0,0,0,16436.57,16436.57,16303.35782646484,16299.33791534611
ABW,MNG,0,0,0,0,0,0,0,0,13299.098,13299.098,13300.4570673584,13298.89992546606
ABW,MNP,0,0,1,0,0,0,0,0,15020.247,15020.247,15045.62701318359,15045.58631599581
ABW,MOZ,0,0,0,0,0,0,0,0,11878.692,11878.692,12049.37915371094,12044.73323615501
ABW,MRT,0,0,0,0,0,0,0,0,5824.1143,5824.1143,5932.266212731934,5923.607963961406
ABW,MSR,0,0,1,0,0,0,0,0,966.2597,966.2597,,
ABW,MTQ,0,0,0,0,0,0,0,0,1001.7257,1001.7257,998.6533545043945,998.5740795003353
ABW,MUS,0,0,1,0,0,0,0,0,14395.813,14395.813,14382.7014949707,14382.69319652246
ABW,MWI,0,0,1,0,0,0,0,0,11828.456,11828.456,11885.31188308105,11884.63940602138
ABW,MYS,0,0,0,0,0,0,0,0,18066.889,18066.889,18042.02102978516,18040.24763828837
ABW,NAM,0,0,1,0,0,0,0,0,10267.962,10267.962,10238.19804782715,10235.29072858182
ABW,NCL,0,0,0,0,0,0,0,0,13964.526,13964.526,13994.3671111084,13993.97116851793
ABW,NER,0,0,0,0,0,0,0,0,7796.3892,7796.3892,8090.482294726562,8078.542767709761
ABW,NFK,0,0,1,0,0,0,0,0,13783.122,13783.122,13783.78179814453,13783.78077634948
ABW,NGA,0,0,1,0,0,0,0,0,8081.917,8425.3223,8276.090847363281,8269.742228355391
ABW,NIC,0,1,0,0,0,0,0,0,1761.9291,1761.9291,1764.174890881348,1761.101345110239
ABW,NIU,0,0,1,0,0,0,0,0,11484.714,11484.714,11492.94324814453,11492.94019904542
ABW,NLD,0,1,1,1,0,1,1,0,7896.8965,7896.8965,7908.407444287109,7908.110379007766
ABW,NOR,0,0,0,0,0,0,0,0,8301.125,8301.125,8240.808437866212,8238.264906595081
ABW,NPL,0,0,0,0,0,0,0,0,14828.1,14828.1,14806.04561884766,14804.42698220699
ABW,NRU,0,0,1,0,0,0,0,0,13604.612,13604.612,13620.22922062988,13620.22450426525
ABW,NZL,0,0,1,0,0,0,0,0,12981.523,12981.523,13079.86588449707,13079.11110397838
ABW,OMN,0,0,0,0,0,0,0,0,13155.516,13155.516,13071.64100993652,13071.03203281884
ABW,PAK,0,0,1,0,0,0,0,0,13581.605,13581.605,13748.66440476074,13747.84765050921
ABW,PAL,0,0,0,0,0,0,0,0,10625.237,10625.237,10642.1449204834,10642.05683390392
ABW,PAN,0,1,0,0,0,0,0,0,1102.9749,1102.9749,1182.385732867432,1171.276145920876
ABW,PCN,0,0,1,0,0,0,0,0,7735.0132,7735.0132,,
ABW,PER,0,1,0,0,0,0,0,0,2848.8611,2848.8611,2758.857643383789,2724.568821436491
ABW,PHL,0,0,1,0,0,0,0,0,16773.428,16773.428,16868.51915546875,16866.91470708689
ABW,PLW,0,0,1,0,0,0,0,0,16527.85,16527.85,16541.40535673828,16541.3509882563
ABW,PNG,0,0,1,0,0,0,0,0,15957.224,15957.224,15932.05114101563,15927.28595130189
ABW,POL,0,0,0,0,0,0,0,0,8990.0234,8990.0234,8884.096645703125,8882.147760179894
ABW,PRI,0,1,1,0,0,0,0,0,781.56958,781.56958,764.2043050750732,763.2674468585477
ABW,PRK,0,0,0,0,0,0,0,0,14063.867,14063.867,13996.79206218262,13995.24713326767
ABW,PRT,0,0,0,0,0,0,0,0,6637.4243,6637.4243,6626.685056164551,6621.537088874745
ABW,PRY,0,1,0,0,0,0,0,0,4418.0757,4418.0757,4436.560161950683,4435.109330517585
ABW,PYF,0,0,0,0,0,0,0,0,9348.1074,9348.1074,9363.776091967773,9363.463248406022
ABW,QAT,0,0,0,0,0,0,0,0,12436.231,12436.231,12418.48876748047,12418.4749079075
ABW,REU,0,0,0,0,0,0,0,0,14183.826,14183.826,14168.52000942383,14168.50137741818
ABW,ROM,0,0,0,0,0,0,0,0,9528.1191,9528.1191,9448.061214990234,9445.321494317046
ABW,RUS,0,0,0,0,0,0,0,0,9942.4746,9942.4746,10523.26534799805,10451.28228133653
ABW,RWA,0,0,1,0,0,0,0,0,11168.009,11168.009,11138.65365292969,11138.53111235133
ABW,SAU,0,0,0,0,0,0,0,0,12028.872,12028.872,11731.10982575684,11720.16890943223
ABW,SDN,0,0,0,0,0,0,0,0,10960.457,10960.457,10934.82221374512,10927.76706343044
ABW,SEN,0,0,0,0,0,0,0,0,5688.1304,5688.1304,5733.223383996582,5731.908386870575
ABW,SGP,0,0,1,0,0,0,0,0,18355.379,18355.379,18355.23261386719,18355.23114982044
ABW,SHN,0,0,1,0,0,0,0,0,7763.8979,7763.8979,7507.777002612304,7463.466463541131
ABW,SLB,0,0,0,0,0,0,0,0,14562.644,14562.644,14593.4946496582,14592.63290939866
ABW,SLE,0,0,1,0,0,0,0,0,6222.7559,6222.7559,6281.981129101562,6280.436902013643
ABW,SLV,0,1,0,0,0,0,0,0,2070.0093,2070.0093,2081.714710101318,2080.955511295086
ABW,SMR,0,0,0,0,0,0,0,0,8461.9121,8461.9121,8454.992280786133,8454.991886486761
ABW,SOM,0,0,0,0,0,0,0,0,12721.271,12721.271,12607.73356804199,12606.06608813799
ABW,SPM,0,0,0,0,0,0,0,0,4015.7551,4015.7551,4035.538592797851,4035.513823518682
ABW,STP,0,0,0,0,0,0,0,0,8580.3467,8580.3467,8558.069203051758,8558.037714420647
ABW,SUR,0,1,1,0,1,0,0,0,1793.713,1793.713,1873.901373168945,1787.663008680932
ABW,SVK,0,0,0,0,0,0,0,0,8778.7412,8778.7412,8902.049220141602,8900.629429856381
ABW,SVN,0,0,0,0,0,0,0,0,8601.0088,8601.0088,8617.865149072266,8617.649575274112
ABW,SWE,0,0,0,0,0,0,0,0,8715.3867,8715.3867,8587.527722436524,8585.174349418339
ABW,SWZ,0,0,0,0,0,0,0,0,11739.211,11739.211,11750.85046765137,11750.77532054311
ABW,SYC,0,0,1,0,0,0,0,0,13989.588,13989.588,13976.95201772461,13976.94768331358
ABW,SYR,0,0,0,0,0,0,0,0,10720.528,10720.528,10724.0078427002,10723.17761292325
ABW,TCA,0,0,1,0,0,0,0,0,998.47742,998.47742,1011.226894769287,1011.168174713191
ABW,TCD,0,0,0,0,0,0,0,0,9201.1582,9201.1582,9341.91263564453,9338.211521805362
ABW,TGO,0,0,0,0,0,0,0,0,7858.2998,7858.2998,7805.199687817382,7804.799712230503
ABW,THA,0,0,0,0,0,0,0,0,16930.207,16930.207,16932.43068193359,16930.49860444953
ABW,TJK,0,0,0,0,0,0,0,0,12917.734,12917.734,12918.99403303223,12918.606849754
ABW,TKL,0,0,1,0,0,0,0,0,11515.176,11515.176,11479.48421962891,11479.26998604355
